LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,Location 1
000041,ONEIDA,ONEIDA,CENTRAL NEW YORK,2012-2014,1567,16.8%,1879,20.1%,3446,36.9%,DISTRICT TOTAL,COUNTY,,,,,,,
000041,ONEIDA,ONEIDA,CENTRAL NEW YORK,2012-2014,969,16.5%,1132,19.3%,2101,35.8%,ELEMENTARY,COUNTY,,,,,,,
000041,ONEIDA,ONEIDA,CENTRAL NEW YORK,2012-2014,587,17.2%,735,21.5%,1322,38.7%,MIDDLE/HIGH,COUNTY,,,,,,,
000042,ONONDAGA,ONONDAGA,CENTRAL NEW YORK,2012-2014,3489,16.9%,3739,18.2%,7228,35.1%,DISTRICT TOTAL,COUNTY,,,,,,,
000042,ONONDAGA,ONONDAGA,CENTRAL NEW YORK,2012-2014,2021,16.8%,2083,17.3%,4104,34.1%,ELEMENTARY,COUNTY,,,,,,,
000042,ONONDAGA,ONONDAGA,CENTRAL NEW YORK,2012-2014,1460,17%,1637,19%,3097,36%,MIDDLE/HIGH,COUNTY,,,,,,,
000043,ONTARIO,ONTARIO,FINGER LAKES,2012-2014,854,16.4%,769,14.8%,1623,31.2%,DISTRICT TOTAL,COUNTY,,,,,,,
000043,ONTARIO,ONTARIO,FINGER LAKES,2012-2014,482,15.8%,411,13.5%,893,29.3%,ELEMENTARY,COUNTY,,,,,,,
000043,ONTARIO,ONTARIO,FINGER LAKES,2012-2014,358,17.2%,344,16.6%,702,33.8%,MIDDLE/HIGH,COUNTY,,,,,,,
000044,ORANGE,ORANGE,HUDSON VALLEY,2012-2014,2693,16.8%,3045,19%,5738,35.8%,DISTRICT TOTAL,COUNTY,,,,,,,
000044,ORANGE,ORANGE,HUDSON VALLEY,2012-2014,1623,16.5%,1825,18.6%,3448,35.1%,ELEMENTARY,COUNTY,,,,,,,
000044,ORANGE,ORANGE,HUDSON VALLEY,2012-2014,1069,17%,1174,18.7%,2243,35.8%,MIDDLE/HIGH,COUNTY,,,,,,,
000045,ORLEANS,ORLEANS,WESTERN NEW YORK,2012-2014,344,16.7%,470,22.7%,814,39.4%,DISTRICT TOTAL,COUNTY,,,,,,,
000045,ORLEANS,ORLEANS,WESTERN NEW YORK,2012-2014,201,15.9%,275,21.8%,476,37.7%,ELEMENTARY,COUNTY,,,,,,,
000045,ORLEANS,ORLEANS,WESTERN NEW YORK,2012-2014,141,17.8%,195,24.7%,336,42.5%,MIDDLE/HIGH,COUNTY,,,,,,,
000046,OSWEGO,OSWEGO,CENTRAL NEW YORK,2012-2014,1140,17.4%,1513,23.1%,2653,40.5%,DISTRICT TOTAL,COUNTY,,,,,,,
000046,OSWEGO,OSWEGO,CENTRAL NEW YORK,2012-2014,655,16.4%,908,22.7%,1563,39.1%,ELEMENTARY,COUNTY,,,,,,,
000046,OSWEGO,OSWEGO,CENTRAL NEW YORK,2012-2014,485,18.6%,685,26.3%,1170,44.9%,MIDDLE/HIGH,COUNTY,,,,,,,
000047,OTSEGO,OTSEGO,NORTHEASTERN NEW YORK,2012-2014,416,16.9%,391,15.9%,807,32.9%,DISTRICT TOTAL,COUNTY,,,,,,,
000047,OTSEGO,OTSEGO,NORTHEASTERN NEW YORK,2012-2014,247,16.5%,198,13.2%,445,29.8%,ELEMENTARY,COUNTY,,,,,,,
000047,OTSEGO,OTSEGO,NORTHEASTERN NEW YORK,2012-2014,161,17.5%,160,17.4%,321,34.9%,MIDDLE/HIGH,COUNTY,,,,,,,
000048,PUTNAM,PUTNAM,HUDSON VALLEY,2012-2014,672,16.6%,650,16%,1322,32.6%,DISTRICT TOTAL,COUNTY,,,,,,,
000048,PUTNAM,PUTNAM,HUDSON VALLEY,2012-2014,369,16.6%,343,15.4%,712,31.9%,ELEMENTARY,COUNTY,,,,,,,
000048,PUTNAM,PUTNAM,HUDSON VALLEY,2012-2014,298,16.4%,307,16.9%,605,33.3%,MIDDLE/HIGH,COUNTY,,,,,,,
000049,RENSSELAER,RENSSELAER,NORTHEASTERN NEW YORK,2012-2014,1037,16.1%,1153,18%,2190,34.1%,DISTRICT TOTAL,COUNTY,,,,,,,
000049,RENSSELAER,RENSSELAER,NORTHEASTERN NEW YORK,2012-2014,589,16.2%,602,16.6%,1191,32.8%,ELEMENTARY,COUNTY,,,,,,,
000049,RENSSELAER,RENSSELAER,NORTHEASTERN NEW YORK,2012-2014,431,16.4%,533,20.2%,964,36.6%,MIDDLE/HIGH,COUNTY,,,,,,,
000050,ROCKLAND,ROCKLAND,HUDSON VALLEY,2012-2014,3121,24.5%,1911,15%,5032,39.5%,DISTRICT TOTAL,COUNTY,,,,,,,
